Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65098366
Total DOS in Cell and MT Volumes =    4.65547754   3.92668958
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.11991258           0.93522707           0.77282611
  1    -1           0.08136074           0.55723504           0.38983468
  1     0           0.08136074           0.55771651           0.38983468
  1     1           0.08136074           0.55819797           0.38983468
  2    -2           2.97946703           0.40114174           0.39281192
  2    -1           2.98144391           0.39789937           0.39291818
  2     0           2.97749015           0.40439019           0.39270566
  2     1           2.98144391           0.39789937           0.39291818
  2     2           2.97946703           0.40114782           0.39281192
  3    -3           0.00107703           0.00617456           0.00287023
  3    -2           0.00167972           0.00578350           0.00291729
  3    -1           0.00128510           0.00601194           0.00288589
  3     0           0.00076492           0.00764247           0.00284675
  3     1           0.00128511           0.00605254           0.00288589
  3     2           0.00167972           0.00577935           0.00291729
  3     3           0.00107704           0.00717810           0.00287023
