Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65098366
Total DOS in Cell and MT Volumes =    2.45351153   2.14936806
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.11991258           0.42036097           0.34749730
  1    -1           0.08136074           0.23214978           0.16444501
  1     0           0.08136074           0.23263124           0.16444501
  1     1           0.08136074           0.23311271           0.16444501
  2    -2           2.97946703           0.26072618           0.25548085
  2    -1           2.98144391           0.28369524           0.28008382
  2     0           2.97749015           0.23776320           0.23087788
  2     1           2.98144391           0.28369524           0.28008382
  2     2           2.97946703           0.26073227           0.25548085
  3    -3           0.00107703           0.00090166           0.00115467
  3    -2           0.00167972           0.00086920           0.00044315
  3    -1           0.00128510           0.00116974           0.00089235
  3     0           0.00076492           0.00172350           0.00154816
  3     1           0.00128511           0.00121035           0.00089235
  3     2           0.00167972           0.00086505           0.00044315
  3     3           0.00107704           0.00190520           0.00115467
