Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63297812
Total DOS in Cell and MT Volumes =    8.48700382   7.63146085
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12282513           1.32667871           1.09061147
  1    -1           0.07546285           0.57362916           0.39847221
  1     0           0.07546285           0.57362916           0.39847221
  1     1           0.07546285           0.57362916           0.39847221
  2    -2           2.97663212           1.07105967           1.05625571
  2    -1           2.97663212           1.12413718           1.10858286
  2     0           2.97663212           1.01798217           1.00392855
  2     1           2.97663212           1.12413718           1.10858286
  2     2           2.97663212           1.07105967           1.05625571
  3    -3           0.00127552           0.00249582           0.00106396
  3    -2           0.00127552           0.00332334           0.00141642
  3    -1           0.00127552           0.00262401           0.00111864
  3     0           0.00127552           0.00230353           0.00098195
  3     1           0.00127552           0.00262401           0.00111864
  3     2           0.00127552           0.00332334           0.00141642
  3     3           0.00127552           0.00249582           0.00106396
  4    -4           0.00003437           0.00175644           0.00053968
  4    -3           0.00003437           0.00024634           0.00007548
  4    -2           0.00003437           0.00211825           0.00065085
  4    -1           0.00003437           0.00077980           0.00023946
  4     0           0.00003437           0.00207022           0.00063617
  4     1           0.00003437           0.00077980           0.00023946
  4     2           0.00003437           0.00211825           0.00065085
  4     3           0.00003437           0.00024634           0.00007548
  4     4           0.00003437           0.00175644           0.00053968
