Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65488954
Total DOS in Cell and MT Volumes =    3.84926988   3.32830538
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12111411           0.53762223           0.44464133
  1    -1           0.08193837           0.41009776           0.28818858
  1     0           0.08193837           0.41058056           0.28818858
  1     1           0.08193837           0.41106336           0.28818858
  2    -2           2.98095857           0.41110564           0.40183803
  2    -1           2.98297709           0.40230964           0.39681945
  2     0           2.97894006           0.41991058           0.40685661
  2     1           2.98297709           0.40230964           0.39681945
  2     2           2.98095857           0.41111459           0.40183803
  3    -3           0.00109925           0.00438148           0.00216128
  3    -2           0.00171391           0.00473554           0.00220717
  3    -1           0.00131145           0.00339138           0.00157321
  3     0           0.00078097           0.00709446           0.00304339
  3     1           0.00131146           0.00343303           0.00157321
  3     2           0.00171391           0.00473127           0.00220717
  3     3           0.00109926           0.00538873           0.00216128
