Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65007866
Total DOS in Cell and MT Volumes =    4.69192992   3.96496867
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.12946158           0.93772344           0.77239088
  1    -1           0.07631701           0.55107893           0.38481327
  1     0           0.07631701           0.55150935           0.38481327
  1     1           0.07631701           0.55193977           0.38481327
  2    -2           2.97781495           0.41091231           0.40355188
  2    -1           2.97949256           0.40781638           0.40299399
  2     0           2.97613733           0.41299955           0.40410977
  2     1           2.97949256           0.40822628           0.40299399
  2     2           2.97781495           0.41010857           0.40355188
  3    -3           0.00111045           0.00623374           0.00284653
  3    -2           0.00160106           0.00573430           0.00288917
  3    -1           0.00127644           0.00600059           0.00286089
  3     0           0.00086147           0.00767837           0.00282498
  3     1           0.00127644           0.00603828           0.00286089
  3     2           0.00160106           0.00573089           0.00288917
  3     3           0.00111045           0.00713227           0.00284653
  4    -4           0.00001311           0.00091760           0.00010375
  4    -3           0.00004698          -0.00014423           0.00010015
  4    -2           0.00003287           0.00180592           0.00009991
  4    -1           0.00003503           0.00027499           0.00009997
  4     0          -0.00001626           0.00024725           0.00011074
  4     1           0.00003503           0.00027515           0.00009997
  4     2           0.00003287           0.00104674           0.00009991
  4     3           0.00004698           0.00026583           0.00010015
  4     4           0.00001311           0.00037767           0.00010375
