Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68046408
Total DOS in Cell and MT Volumes =    4.77985293   4.05266624
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.17728547           0.91643764           0.75633953
  1    -1           0.06120045           0.54970205           0.38401207
  1     0           0.06120045           0.55017847           0.38401207
  1     1           0.06120045           0.55065488           0.38401207
  2    -2           2.96563751           0.43315636           0.42434742
  2    -1           2.96747787           0.42925697           0.42401138
  2     0           2.96379714           0.43705427           0.42468346
  2     1           2.96747787           0.42925697           0.42401138
  2     2           2.96563751           0.43315488           0.42434742
  3    -3           0.00116480           0.00721495           0.00325214
  3    -2           0.00178739           0.00629371           0.00331203
  3    -1           0.00130428           0.00750510           0.00326145
  3     0           0.00095558           0.00797575           0.00323819
  3     1           0.00130429           0.00751508           0.00326145
  3     2           0.00178739           0.00631810           0.00331203
  3     3           0.00116481           0.00817776           0.00325214
