Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68046408
Total DOS in Cell and MT Volumes =    3.14198841   2.75956463
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.17728547           0.52956122           0.43719710
  1    -1           0.06120045           0.29054669           0.20533916
  1     0           0.06120045           0.29102311           0.20533916
  1     1           0.06120045           0.29149953           0.20533916
  2    -2           2.96563751           0.34018609           0.33346171
  2    -1           2.96747787           0.36921713           0.36462761
  2     0           2.96379714           0.31115356           0.30229581
  2     1           2.96747787           0.36921713           0.36462761
  2     2           2.96563751           0.34018460           0.33346171
  3    -3           0.00116480           0.00098001           0.00139095
  3    -2           0.00178739           0.00104093           0.00053662
  3    -1           0.00130428           0.00142843           0.00108621
  3     0           0.00095558           0.00150343           0.00184805
  3     1           0.00130429           0.00143840           0.00108621
  3     2           0.00178739           0.00106532           0.00053662
  3     3           0.00116481           0.00194283           0.00139095
