Atom: Cu, Spin: 1, Partial Phase Shift and DOS at Energy =    0.64254833
Total DOS in Cell and MT Volumes =    1.69190657   1.39724299
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.11639735           0.27569705           0.22736680
  1    -1           0.08048952           0.26982131           0.19406403
  1     0           0.08048952           0.27029946           0.19406400
  1     1           0.08048952           0.27077769           0.19406403
  2    -2           2.97794732           0.12002584           0.11788612
  2    -1           2.97988949           0.10000257           0.09901643
  2     0           2.97600515           0.14004850           0.13675581
  2     1           2.97988949           0.10000257           0.09901643
  2     2           2.97794732           0.12002524           0.11788612
  3    -3           0.00103014           0.00454889           0.00346738
  3    -2           0.00161000           0.00046652           0.00022433
  3    -1           0.00123035           0.00311768           0.00214269
  3     0           0.00072983           0.00791049           0.00545442
  3     1           0.00123036           0.00315631           0.00214269
  3     2           0.00161000           0.00046254           0.00022433
  3     3           0.00103015           0.00554390           0.00346738
