Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68577694
Total DOS in Cell and MT Volumes =    1.36515629   1.14193598
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.45389980           0.26812053           0.18024169
  1    -1          -0.06169291           0.09960484           0.05686302
  1     0          -0.06169291           0.09960484           0.05686302
  1     1          -0.06169291           0.09960484           0.05686302
  2    -2           2.84355067           0.15600859           0.15514033
  2    -1           2.84355067           0.16995190           0.16900604
  2     0           2.84355067           0.14206528           0.14127462
  2     1           2.84355067           0.16995190           0.16900604
  2     2           2.84355067           0.15600859           0.15514033
  3    -3           0.00143938           0.00075029           0.00027245
  3    -2           0.00143938           0.00026503           0.00009624
  3    -1           0.00143938           0.00065730           0.00023868
  3     0           0.00143938           0.00088978           0.00032311
  3     1           0.00143938           0.00065730           0.00023868
  3     2           0.00143938           0.00026503           0.00009624
  3     3           0.00143938           0.00075029           0.00027245
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.68577694
Total DOS in Cell and MT Volumes =   17.17362369  16.10743854
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.52800646           0.14311374           0.09405151
  1    -1          -0.09164053           0.11364310           0.06375637
  1     0          -0.09164053           0.11364310           0.06375637
  1     1          -0.09164053           0.11364310           0.06375637
  2    -2           1.38201888           3.75981138           3.56686972
  2    -1           1.38201888           1.63170709           1.54797303
  2     0           1.38201888           5.88791567           5.58576641
  2     1           1.38201888           1.63170709           1.54797303
  2     2           1.38201888           3.75981138           3.56686972
  3    -3           0.00126131           0.00316105           0.00113117
  3    -2           0.00126131           0.00147391           0.00052743
  3    -1           0.00126131           0.00291097           0.00104168
  3     0           0.00126131           0.00353617           0.00126541
  3     1           0.00126131           0.00291097           0.00104168
  3     2           0.00126131           0.00147391           0.00052743
  3     3           0.00126131           0.00316105           0.00113117
