Atom: Va, Spin: 1, Partial Phase Shift and DOS at Energy =    0.68577694
Total DOS in Cell and MT Volumes =    0.58267199   0.36884935
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.38854042           0.27071206           0.20211723
  1    -1          -0.07495579           0.08712356           0.04902959
  1     0          -0.07495579           0.08712356           0.04902959
  1     1          -0.07495579           0.08712356           0.04902959
  2    -2          -0.00674061           0.00745016           0.00310955
  2    -1          -0.00674061           0.00763302           0.00318587
  2     0          -0.00674061           0.00726730           0.00303323
  2     1          -0.00674061           0.00763302           0.00318587
  2     2          -0.00674061           0.00745016           0.00310955
  3    -3          -0.00032251           0.00180658           0.00055194
  3    -2          -0.00032251           0.00196090           0.00059909
  3    -1          -0.00032251           0.00220842           0.00067471
  3     0          -0.00032251           0.00120381           0.00036779
  3     1          -0.00032251           0.00220842           0.00067471
  3     2          -0.00032251           0.00196090           0.00059909
  3     3          -0.00032251           0.00180658           0.00055194
Atom: Va, Spin: 2, Partial Phase Shift and DOS at Energy =    0.68577694
Total DOS in Cell and MT Volumes =    1.17297687   0.62014718
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.37635359           0.01023823           0.00767586
  1    -1          -0.07304441           0.30463252           0.17181167
  1     0          -0.07304441           0.30463252           0.17181167
  1     1          -0.07304441           0.30463252           0.17181167
  2    -2          -0.00659940           0.04276462           0.01787116
  2    -1          -0.00659940           0.01578529           0.00659661
  2     0          -0.00659940           0.06974396           0.02914572
  2     1          -0.00659940           0.01578529           0.00659661
  2     2          -0.00659940           0.04276462           0.01787116
  3    -3          -0.00031737           0.00803595           0.00245691
  3    -2          -0.00031737           0.00989450           0.00302514
  3    -1          -0.00031737           0.01209304           0.00369733
  3     0          -0.00031737           0.00195032           0.00059629
  3     1          -0.00031737           0.01209304           0.00369733
  3     2          -0.00031737           0.00989450           0.00302514
  3     3          -0.00031737           0.00803595           0.00245691
