Atom: Va, Spin: 1, Partial Phase Shift and DOS at Energy =    0.36014217
Total DOS in Cell and MT Volumes =    0.16350811   0.09251655
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.53885239           0.09971339           0.06238416
  1    -1          -0.07591460           0.01439003           0.00704136
  1     0          -0.07591460           0.02623150           0.01283565
  1     1          -0.07591460           0.01439003           0.00704136
  2    -2          -0.00422888           0.00053868           0.00020043
  2    -1          -0.00422888           0.00256896           0.00095587
  2     0          -0.00422888           0.00199736           0.00074318
  2     1          -0.00422888           0.00256896           0.00095587
  2     2          -0.00422888           0.00053868           0.00020043
  3    -3          -0.00011564           0.00001742           0.00000483
  3    -2          -0.00011564           0.00004069           0.00001129
  3    -1          -0.00011564           0.00013848           0.00003841
  3     0          -0.00011564           0.00017735           0.00004919
  3     1          -0.00011564           0.00013848           0.00003841
  3     2          -0.00011564           0.00004069           0.00001129
  3     3          -0.00011564           0.00001742           0.00000483
Atom: Va, Spin: 2, Partial Phase Shift and DOS at Energy =    0.36014217
Total DOS in Cell and MT Volumes =    0.38587691   0.20167804
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.53439051           0.14189037           0.08903511
  1    -1          -0.07512671           0.02454386           0.01203290
  1     0          -0.07512671           0.14232675           0.06977725
  1     1          -0.07512671           0.02454386           0.01203290
  2    -2          -0.00417939           0.00177130           0.00065997
  2    -1          -0.00417939           0.01370751           0.00510730
  2     0          -0.00417939           0.01331500           0.00496105
  2     1          -0.00417939           0.01370751           0.00510730
  2     2          -0.00417939           0.00177130           0.00065997
  3    -3          -0.00011425           0.00008795           0.00002442
  3    -2          -0.00011425           0.00072724           0.00020191
  3    -1          -0.00011425           0.00096443           0.00026777
  3     0          -0.00011425           0.00474018           0.00131608
  3     1          -0.00011425           0.00096443           0.00026777
  3     2          -0.00011425           0.00072724           0.00020191
  3     3          -0.00011425           0.00008795           0.00002442
