Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.08489572
Total DOS in Cell and MT Volumes =    1.69011617   1.11003404
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.65623960           1.14402231           0.83977198
  1    -1           0.07502878           0.16977838           0.07969875
  1     0           0.07502878           0.16977838           0.07969875
  1     1           0.07502878           0.16977838           0.07969875
  2    -2           3.13824743           0.00728764           0.00622478
  2    -1           3.13824743           0.00728764           0.00622478
  2     0           3.13824743           0.00728764           0.00622478
  2     1           3.13824743           0.00728764           0.00622478
  2     2           3.13824743           0.00728764           0.00622478
  3    -3           0.00001064           0.00004579           0.00000599
  3    -2           0.00001064           0.00004579           0.00000599
  3    -1           0.00001064           0.00004579           0.00000599
  3     0           0.00001064           0.00004579           0.00000599
  3     1           0.00001064           0.00004579           0.00000599
  3     2           0.00001064           0.00004579           0.00000599
  3     3           0.00001064           0.00004579           0.00000599
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.08489572
Total DOS in Cell and MT Volumes =   12.24498383  11.11521941
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.90747720           1.52858769           1.05550186
  1    -1           0.05770470           0.14122289           0.06270090
  1     0           0.05770470           0.14122289           0.06270090
  1     1           0.05770470           0.14122289           0.06270090
  2    -2           0.07194260           2.05848188           1.97431484
  2    -1           0.07194260           2.05848188           1.97431484
  2     0           0.07194260           2.05848188           1.97431484
  2     1           0.07194260           2.05848188           1.97431484
  2     2           0.07194260           2.05848188           1.97431484
  3    -3           0.00000972           0.00004543           0.00000581
  3    -2           0.00000972           0.00004543           0.00000581
  3    -1           0.00000972           0.00004543           0.00000581
  3     0           0.00000972           0.00004543           0.00000581
  3     1           0.00000972           0.00004543           0.00000581
  3     2           0.00000972           0.00004543           0.00000581
  3     3           0.00000972           0.00004543           0.00000581
