Atom: Va, Spin: 1, Partial Phase Shift and DOS at Energy =    0.08489572
Total DOS in Cell and MT Volumes =    0.50485722   0.18782727
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.33475717           0.34419634           0.14481493
  1    -1          -0.02037986           0.05006819           0.01377518
  1     0          -0.02037986           0.05006819           0.01377518
  1     1          -0.02037986           0.05006819           0.01377518
  2    -2          -0.00041645           0.00203420           0.00033223
  2    -1          -0.00041645           0.00203420           0.00033223
  2     0          -0.00041645           0.00203420           0.00033223
  2     1          -0.00041645           0.00203420           0.00033223
  2     2          -0.00041645           0.00203420           0.00033223
  3    -3          -0.00000430           0.00004076           0.00000367
  3    -2          -0.00000430           0.00004076           0.00000367
  3    -1          -0.00000430           0.00004076           0.00000367
  3     0          -0.00000430           0.00004076           0.00000367
  3     1          -0.00000430           0.00004076           0.00000367
  3     2          -0.00000430           0.00004076           0.00000367
  3     3          -0.00000430           0.00004076           0.00000367
Atom: Va, Spin: 2, Partial Phase Shift and DOS at Energy =    0.08489572
Total DOS in Cell and MT Volumes =    0.49421966   0.18199673
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.34134475           0.33526765           0.13976373
  1    -1          -0.02107665           0.04951163           0.01352082
  1     0          -0.02107665           0.04951163           0.01352082
  1     1          -0.02107665           0.04951163           0.01352082
  2    -2          -0.00043431           0.00202644           0.00032901
  2    -1          -0.00043431           0.00202644           0.00032901
  2     0          -0.00043431           0.00202644           0.00032901
  2     1          -0.00043431           0.00202644           0.00032901
  2     2          -0.00043431           0.00202644           0.00032901
  3    -3          -0.00000451           0.00004070           0.00000364
  3    -2          -0.00000451           0.00004070           0.00000364
  3    -1          -0.00000451           0.00004070           0.00000364
  3     0          -0.00000451           0.00004070           0.00000364
  3     1          -0.00000451           0.00004070           0.00000364
  3     2          -0.00000451           0.00004070           0.00000364
  3     3          -0.00000451           0.00004070           0.00000364
