Atom: Va, Spin: 1, Partial Phase Shift and DOS at Energy =    0.08489572
Total DOS in Cell and MT Volumes =    0.24461442   0.07543332
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.33475717           0.10562204           0.04443873
  1    -1          -0.02037986           0.01679875           0.00462181
  1     0          -0.02037986           0.04734244           0.01302525
  1     1          -0.02037986           0.01679875           0.00462181
  2    -2          -0.00041645           0.00094835           0.00015489
  2    -1          -0.00041645           0.00833102           0.00136064
  2     0          -0.00041645           0.02920003           0.00476900
  2     1          -0.00041645           0.00833102           0.00136064
  2     2          -0.00041645           0.00094835           0.00015489
  3    -3          -0.00000430           0.00012929           0.00001163
  3    -2          -0.00000430           0.00033618           0.00003023
  3    -1          -0.00000430           0.00247439           0.00022251
  3     0          -0.00000430           0.00441394           0.00039693
  3     1          -0.00000430           0.00247439           0.00022251
  3     2          -0.00000430           0.00033618           0.00003023
  3     3          -0.00000430           0.00012929           0.00001163
Atom: Va, Spin: 2, Partial Phase Shift and DOS at Energy =    0.08489572
Total DOS in Cell and MT Volumes =    0.91233885   0.27085831
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.34134475           0.38709805           0.16137037
  1    -1          -0.02107665           0.04580725           0.01250922
  1     0          -0.02107665           0.18398717           0.05024392
  1     1          -0.02107665           0.04580725           0.01250922
  2    -2          -0.00043431           0.00067712           0.00010993
  2    -1          -0.00043431           0.04195507           0.00681168
  2     0          -0.00043431           0.07782569           0.01263550
  2     1          -0.00043431           0.04195507           0.00681168
  2     2          -0.00043431           0.00067712           0.00010993
  3    -3          -0.00000451           0.00054581           0.00004885
  3    -2          -0.00000451           0.00144254           0.00012912
  3    -1          -0.00000451           0.02077654           0.00185968
  3     0          -0.00000451           0.04101927           0.00367157
  3     1          -0.00000451           0.02077654           0.00185968
  3     2          -0.00000451           0.00144254           0.00012912
  3     3          -0.00000451           0.00054581           0.00004885
