Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.22337046
Total DOS in Cell and MT Volumes =    1.50305478   1.12033734
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.58492922           0.76254890           0.56483963
  1    -1           0.10236148           0.15571865           0.09452178
  1     0           0.10236148           0.15571865           0.09452178
  1     1           0.10236148           0.15571865           0.09452178
  2    -2           3.10860747           0.05448152           0.05431875
  2    -1           3.10860747           0.05448152           0.05431875
  2     0           3.10860747           0.05448152           0.05431875
  2     1           3.10860747           0.05448152           0.05431875
  2     2           3.10860747           0.05448152           0.05431875
  3    -3           0.00012178           0.00013462           0.00004837
  3    -2           0.00012178           0.00013462           0.00004837
  3    -1           0.00012178           0.00013462           0.00004837
  3     0           0.00012178           0.00013462           0.00004837
  3     1           0.00012178           0.00013462           0.00004837
  3     2           0.00012178           0.00013462           0.00004837
  3     3           0.00012178           0.00013462           0.00004837
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.22337046
Total DOS in Cell and MT Volumes =  214.51297442 206.74765896
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.39957220           0.74130526           0.53370071
  1    -1           0.07392531           0.13186727           0.07805434
  1     0           0.07392531           0.13186727           0.07805434
  1     1           0.07392531           0.13186727           0.07805434
  2    -2           1.29224642          42.67502876          41.19589376
  2    -1           1.29224642          42.67502876          41.19589376
  2     0           1.29224642          42.67502876          41.19589376
  2     1           1.29224642          42.67502876          41.19589376
  2     2           1.29224642          42.67502876          41.19589376
  3    -3           0.00011030           0.00013194           0.00004664
  3    -2           0.00011030           0.00013194           0.00004664
  3    -1           0.00011030           0.00013194           0.00004664
  3     0           0.00011030           0.00013194           0.00004664
  3     1           0.00011030           0.00013194           0.00004664
  3     2           0.00011030           0.00013194           0.00004664
  3     3           0.00011030           0.00013194           0.00004664
