Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.22337046
Total DOS in Cell and MT Volumes =    1.23598839   0.93474174
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.58492922           0.74063626           0.54860837
  1    -1           0.10236148           0.13085536           0.07942967
  1     0           0.10236148           0.01083094           0.00657442
  1     1           0.10236148           0.13085536           0.07942967
  2    -2           3.10860747           0.10484025           0.10452704
  2    -1           3.10860747           0.00356208           0.00355144
  2     0           3.10860747           0.00373944           0.00372827
  2     1           3.10860747           0.00356208           0.00355144
  2     2           3.10860747           0.10484025           0.10452704
  3    -3           0.00012178           0.00071200           0.00025585
  3    -2           0.00012178           0.00001261           0.00000453
  3    -1           0.00012178           0.00038447           0.00013816
  3     0           0.00012178           0.00004820           0.00001732
  3     1           0.00012178           0.00038447           0.00013816
  3     2           0.00012178           0.00001261           0.00000453
  3     3           0.00012178           0.00071200           0.00025585
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.22337046
Total DOS in Cell and MT Volumes =   22.39288371  21.34758651
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.39957220           0.32376575           0.23309428
  1    -1           0.07392531           0.13722317           0.08122457
  1     0           0.07392531           0.16990940           0.10057207
  1     1           0.07392531           0.13722317           0.08122457
  2    -2           1.29224642           4.25494320           4.10746503
  2    -1           1.29224642           2.03174579           1.96132460
  2     0           1.29224642           9.01254004           8.70016150
  2     1           1.29224642           2.03174579           1.96132460
  2     2           1.29224642           4.25494320           4.10746503
  3    -3           0.00011030           0.00971590           0.00343428
  3    -2           0.00011030           0.00451788           0.00159694
  3    -1           0.00011030           0.00291067           0.00102883
  3     0           0.00011030           0.00455530           0.00161016
  3     1           0.00011030           0.00291067           0.00102883
  3     2           0.00011030           0.00451788           0.00159694
  3     3           0.00011030           0.00971590           0.00343428
