Atom: Va, Spin: 1, Partial Phase Shift and DOS at Energy =    0.22337046
Total DOS in Cell and MT Volumes =    0.73520400   0.47128164
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.18140601           0.50153123           0.35013845
  1    -1          -0.01460844           0.07126084           0.03778348
  1     0          -0.01460844           0.07126084           0.03778348
  1     1          -0.01460844           0.07126084           0.03778348
  2    -2          -0.00049505           0.00382834           0.00151497
  2    -1          -0.00049505           0.00382834           0.00151497
  2     0          -0.00049505           0.00382834           0.00151497
  2     1          -0.00049505           0.00382834           0.00151497
  2     2          -0.00049505           0.00382834           0.00151497
  3    -3          -0.00000921           0.00010693           0.00003113
  3    -2          -0.00000921           0.00010693           0.00003113
  3    -1          -0.00000921           0.00010693           0.00003113
  3     0          -0.00000921           0.00010693           0.00003113
  3     1          -0.00000921           0.00010693           0.00003113
  3     2          -0.00000921           0.00010693           0.00003113
  3     3          -0.00000921           0.00010693           0.00003113
Atom: Va, Spin: 2, Partial Phase Shift and DOS at Energy =    0.22337046
Total DOS in Cell and MT Volumes =    0.74070506   0.47592454
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.17715971           0.50666280           0.35448745
  1    -1          -0.01448307           0.07138371           0.03788059
  1     0          -0.01448307           0.07138371           0.03788059
  1     1          -0.01448307           0.07138371           0.03788059
  2    -2          -0.00049776           0.00382854           0.00151549
  2    -1          -0.00049776           0.00382854           0.00151549
  2     0          -0.00049776           0.00382854           0.00151549
  2     1          -0.00049776           0.00382854           0.00151549
  2     2          -0.00049776           0.00382854           0.00151549
  3    -3          -0.00000937           0.00010692           0.00003113
  3    -2          -0.00000937           0.00010692           0.00003113
  3    -1          -0.00000937           0.00010692           0.00003113
  3     0          -0.00000937           0.00010692           0.00003113
  3     1          -0.00000937           0.00010692           0.00003113
  3     2          -0.00000937           0.00010692           0.00003113
  3     3          -0.00000937           0.00010692           0.00003113
