Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.75610567
Total DOS in Cell and MT Volumes =    4.08228986   3.67394902
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.49487391           0.38536689           0.27669534
  1    -1          -0.06757480           0.22351486           0.13323564
  1     0          -0.06757479           0.22403329           0.13323564
  1     1          -0.06757480           0.22455171           0.13323564
  2    -2           2.75300779           0.59374225           0.59238416
  2    -1           2.74355799           0.61644757           0.61503200
  2     0           2.76245759           0.57104666           0.56973632
  2     1           2.74355799           0.61644757           0.61503200
  2     2           2.75300779           0.59375198           0.59238416
  3    -3           0.00192909           0.00440550           0.00184551
  3    -2           0.00253796           0.00437225           0.00187330
  3    -1           0.00214304           0.00492543           0.00185350
  3     0           0.00160816           0.00492529           0.00183353
  3     1           0.00214305           0.00493269           0.00185350
  3     2           0.00253796           0.00437632           0.00187330
  3     3           0.00192910           0.00544961           0.00184551
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.75610567
Total DOS in Cell and MT Volumes =   23.34751502  22.01570316
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.55381531           0.37142670           0.26185352
  1    -1          -0.09476403           0.21008350           0.12350431
  1     0          -0.09476403           0.21010971           0.12350431
  1     1          -0.09476403           0.21013592           0.12350431
  2    -2           1.65132347           4.52890920           4.32550567
  2    -1           1.80636498           4.20280375           4.06865371
  2     0           1.49628196           4.85105182           4.58235763
  2     1           1.80636498           4.20280375           4.06865371
  2     2           1.65132347           4.52494636           4.32550567
  3    -3           0.00172467           0.00530553           0.00179605
  3    -2           0.00232269           0.00431647           0.00183687
  3    -1           0.00193287           0.00514558           0.00180867
  3     0           0.00141239           0.00561813           0.00177712
  3     1           0.00193287           0.00515988           0.00180867
  3     2           0.00232269           0.00432646           0.00183687
  3     3           0.00172468           0.00537225           0.00179605
