Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.75610567
Total DOS in Cell and MT Volumes =    9.78449153   9.55324843
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.49487391           0.23051207           0.16547353
  1    -1          -0.06757480           0.10277934           0.06329109
  1     0          -0.06757479           0.10329776           0.06329109
  1     1          -0.06757480           0.10381619           0.06329109
  2    -2           2.75300779           1.64993237           1.64613601
  2    -1           2.74355799           2.59578965           2.58986805
  2     0           2.76245759           0.70408481           0.70240397
  2     1           2.74355799           2.59578965           2.58986805
  2     2           2.75300779           1.64994210           1.64613601
  3    -3           0.00192909           0.00375882           0.00210842
  3    -2           0.00253796           0.01368831           0.00656769
  3    -1           0.00214304           0.00380228           0.00173250
  3     0           0.00160816           0.00499332           0.00267230
  3     1           0.00214305           0.00380954           0.00173250
  3     2           0.00253796           0.01369237           0.00656769
  3     3           0.00192910           0.00480293           0.00210842
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.75610567
Total DOS in Cell and MT Volumes =    4.86549742   3.67143269
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.55381531           0.05044737           0.03552120
  1    -1          -0.09476403           0.80812638           0.47090614
  1     0          -0.09476403           0.80815259           0.47090614
  1     1          -0.09476403           0.80817880           0.47090614
  2    -2           1.65132347           0.42958637           0.41086755
  2    -1           1.80636498           0.56107240           0.54340487
  2     0           1.49628196           0.29413750           0.27833023
  2     1           1.80636498           0.56107240           0.54340487
  2     2           1.65132347           0.42562353           0.41086755
  3    -3           0.00172467           0.01742033           0.00473828
  3    -2           0.00232269           0.01495257           0.00577348
  3    -1           0.00193287           0.02127959           0.00689757
  3     0           0.00141239           0.01170410           0.00149935
  3     1           0.00193287           0.02129389           0.00689757
  3     2           0.00232269           0.01496255           0.00577348
  3     3           0.00172468           0.01748704           0.00473828
