Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.75657977
Total DOS in Cell and MT Volumes =   10.15293394   9.85236044
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.49513806           0.42574863           0.30574261
  1    -1          -0.06766643           0.11718850           0.07256020
  1     0          -0.06766643           0.11769779           0.07256020
  1     1          -0.06766643           0.11820707           0.07256020
  2    -2           2.75295105           1.77451553           1.77044057
  2    -1           2.74387175           2.22782573           2.22272942
  2     0           2.76203036           1.32121457           1.31815173
  2     1           2.74387175           2.22782573           2.22272942
  2     2           2.75295105           1.77452477           1.77044057
  3    -3           0.00193308           0.00374905           0.00231384
  3    -2           0.00254254           0.01362735           0.00658096
  3    -1           0.00214718           0.00349171           0.00174266
  3     0           0.00161194           0.00541194           0.00317060
  3     1           0.00214719           0.00349909           0.00174266
  3     2           0.00254254           0.01363150           0.00658096
  3     3           0.00193309           0.00477498           0.00231384
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.75657977
Total DOS in Cell and MT Volumes =    8.65301637   7.55910260
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.55428766           0.02127670           0.01495757
  1    -1          -0.09495980           0.58972434           0.34745164
  1     0          -0.09495980           0.58976702           0.34745164
  1     1          -0.09495980           0.58980970           0.34745164
  2    -2           1.64812981           1.19174301           1.14646933
  2    -1           1.79657253           1.90481961           1.84390950
  2     0           1.49968708           0.47482125           0.44902917
  2     1           1.79657253           1.90481961           1.84390950
  2     2           1.64812981           1.18789786           1.14646933
  3    -3           0.00172777           0.03056629           0.01065755
  3    -2           0.00232520           0.02255084           0.00924817
  3    -1           0.00193585           0.03090097           0.01109596
  3     0           0.00141565           0.03017795           0.00999993
  3     1           0.00193586           0.03091497           0.01109596
  3     2           0.00232520           0.02256061           0.00924817
  3     3           0.00172778           0.03066564           0.01065755
