Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.74764088
Total DOS in Cell and MT Volumes =    4.34510908   3.93562238
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.49174177           0.38625118           0.27675883
  1    -1          -0.06687220           0.22167717           0.13188763
  1     0          -0.06687220           0.22216014           0.13188763
  1     1          -0.06687220           0.22264312           0.13188763
  2    -2           2.74012158           0.64798197           0.64612902
  2    -1           2.73159923           0.66809099           0.66617062
  2     0           2.74864393           0.62788319           0.62608742
  2     1           2.73159923           0.66809099           0.66617062
  2     2           2.74012158           0.64799222           0.64612902
  3    -3           0.00185793           0.00429156           0.00177932
  3    -2           0.00244605           0.00422297           0.00180669
  3    -1           0.00206428           0.00476883           0.00178722
  3     0           0.00154840           0.00478672           0.00176748
  3     1           0.00206429           0.00477607           0.00178722
  3     2           0.00244605           0.00422722           0.00180669
  3     3           0.00185794           0.00526475           0.00177932
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.74764088
Total DOS in Cell and MT Volumes =   24.36542716  22.89939455
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.55165541           0.37173497           0.26144411
  1    -1          -0.09426716           0.20813078           0.12206040
  1     0          -0.09426716           0.20820734           0.12206040
  1     1          -0.09426716           0.20828390           0.12206040
  2    -2           1.48110234           4.68760569           4.45990104
  2    -1           1.62219770           4.58518758           4.41995386
  2     0           1.34000699           4.78984905           4.49984825
  2     1           1.62219770           4.58518758           4.41995386
  2     2           1.48110234           4.68743092           4.45990104
  3    -3           0.00165921           0.00502606           0.00173293
  3    -2           0.00222961           0.00416797           0.00177039
  3    -1           0.00185805           0.00494177           0.00174446
  3     0           0.00136096           0.00535028           0.00171564
  3     1           0.00185805           0.00495449           0.00174446
  3     2           0.00222961           0.00417686           0.00177039
  3     3           0.00165922           0.00519191           0.00173293
