Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.74764092
Total DOS in Cell and MT Volumes =    4.34511325   3.93562645
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.49174187           0.38625117           0.27675882
  1    -1          -0.06687225           0.22167717           0.13188763
  1     0          -0.06687225           0.22216013           0.13188762
  1     1          -0.06687225           0.22264311           0.13188763
  2    -2           2.74012130           0.64798278           0.64612983
  2    -1           2.73159895           0.66809183           0.66617145
  2     0           2.74864365           0.62788399           0.62608821
  2     1           2.73159895           0.66809183           0.66617145
  2     2           2.74012130           0.64799304           0.64612983
  3    -3           0.00185793           0.00429157           0.00177932
  3    -2           0.00244605           0.00422298           0.00180670
  3    -1           0.00206428           0.00476885           0.00178722
  3     0           0.00154840           0.00478674           0.00176748
  3     1           0.00206429           0.00477608           0.00178722
  3     2           0.00244605           0.00422724           0.00180670
  3     3           0.00185794           0.00526475           0.00177932
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.74764092
Total DOS in Cell and MT Volumes =   24.36542398  22.89939148
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.55165542           0.37173497           0.26144410
  1    -1          -0.09426716           0.20813076           0.12206039
  1     0          -0.09426716           0.20820733           0.12206040
  1     1          -0.09426716           0.20828388           0.12206039
  2    -2           1.48110216           4.68760510           4.45990046
  2    -1           1.62219736           4.58518700           4.41995325
  2     0           1.34000695           4.78984839           4.49984761
  2     1           1.62219736           4.58518700           4.41995325
  2     2           1.48110216           4.68743033           4.45990046
  3    -3           0.00165921           0.00502606           0.00173293
  3    -2           0.00222961           0.00416795           0.00177038
  3    -1           0.00185805           0.00494174           0.00174445
  3     0           0.00136096           0.00535026           0.00171563
  3     1           0.00185805           0.00495447           0.00174445
  3     2           0.00222961           0.00417684           0.00177038
  3     3           0.00165922           0.00519191           0.00173293
