Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.74764092
Total DOS in Cell and MT Volumes =   10.07584455   9.80946802
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.49174187           0.13631232           0.09767126
  1    -1          -0.06687225           0.14871168           0.08958422
  1     0          -0.06687225           0.14919464           0.08958422
  1     1          -0.06687225           0.14967763           0.08958422
  2    -2           2.74012130           1.71560903           1.71068882
  2    -1           2.73159895           2.58821695           2.58077732
  2     0           2.74864365           0.84301203           0.84060097
  2     1           2.73159895           2.58821695           2.58077732
  2     2           2.74012130           1.71561929           1.71068882
  3    -3           0.00185793           0.00279325           0.00156643
  3    -2           0.00244605           0.01234582           0.00583836
  3    -1           0.00206428           0.00363401           0.00157042
  3     0           0.00154840           0.00274319           0.00156045
  3     1           0.00206429           0.00364125           0.00157042
  3     2           0.00244605           0.01235007           0.00583836
  3     3           0.00185794           0.00376644           0.00156643
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.74764092
Total DOS in Cell and MT Volumes =    6.36228528   5.91664444
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.55165542           0.01167400           0.00821042
  1    -1          -0.09426716           0.14517050           0.08496181
  1     0          -0.09426716           0.14524708           0.08496182
  1     1          -0.09426716           0.14532362           0.08496181
  2    -2           1.48110216           1.04436933           1.00178784
  2    -1           1.62219736           1.69180883           1.63084209
  2     0           1.34000695           0.39675502           0.37273354
  2     1           1.62219736           1.69180883           1.63084209
  2     2           1.48110216           1.04419456           1.00178784
  3    -3           0.00165921           0.00765138           0.00250688
  3    -2           0.00222961           0.00382941           0.00154754
  3    -1           0.00185805           0.00691648           0.00235837
  3     0           0.00136096           0.00895149           0.00272963
  3     1           0.00185805           0.00692920           0.00235837
  3     2           0.00222961           0.00383830           0.00154754
  3     3           0.00165922           0.00781724           0.00250688
