Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.74542398
Total DOS in Cell and MT Volumes =    4.14440683   3.73418781
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.48038875           0.38743066           0.27814306
  1    -1          -0.06069704           0.22351916           0.13308044
  1     0          -0.06069704           0.22351916           0.13308044
  1     1          -0.06069704           0.22351916           0.13308044
  2    -2           2.75236828           0.61040037           0.60887708
  2    -1           2.75236828           0.61040037           0.60887708
  2     0           2.75236828           0.61040037           0.60887708
  2     1           2.75236828           0.61040037           0.60887708
  2     2           2.75236828           0.61040037           0.60887708
  3    -3           0.00221722           0.00491669           0.00177401
  3    -2           0.00221722           0.00491669           0.00177401
  3    -1           0.00221722           0.00491669           0.00177401
  3     0           0.00221722           0.00491669           0.00177401
  3     1           0.00221722           0.00491669           0.00177401
  3     2           0.00221722           0.00491669           0.00177401
  3     3           0.00221722           0.00491669           0.00177401
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.74542398
Total DOS in Cell and MT Volumes =   22.57108229  21.37924571
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.53095049           0.37529993           0.26518166
  1    -1          -0.08393789           0.21215375           0.12466861
  1     0          -0.08393789           0.21215375           0.12466861
  1     1          -0.08393789           0.21215375           0.12466861
  2    -2           1.83489745           4.30504259           4.14556851
  2    -1           1.83489745           4.30504259           4.14556851
  2     0           1.83489745           4.30504259           4.14556851
  2     1           1.83489745           4.30504259           4.14556851
  2     2           1.83489745           4.30504259           4.14556851
  3    -3           0.00205578           0.00487260           0.00174510
  3    -2           0.00205578           0.00487260           0.00174510
  3    -1           0.00205578           0.00487260           0.00174510
  3     0           0.00205578           0.00487260           0.00174510
  3     1           0.00205578           0.00487260           0.00174510
  3     2           0.00205578           0.00487260           0.00174510
  3     3           0.00205578           0.00487260           0.00174510
