Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.73458023
Total DOS in Cell and MT Volumes =    1.53146824   1.50944109
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.47642913           0.22951202           0.16514732
  1    -1          -0.05988374           0.13646472           0.08121730
  1     0          -0.05988374           0.13646472           0.08121730
  1     1          -0.05988374           0.13646472           0.08121730
  2    -2           2.73458455           0.04616718           0.09575525
  2    -1           2.73458455           0.65129737           0.69728334
  2     0           2.73458455          -0.55896301          -0.50577283
  2     1           2.73458455           0.65129737           0.69728334
  2     2           2.73458455           0.04616718           0.09575525
  3    -3           0.00211274           0.00689547           0.00247552
  3    -2           0.00211274           0.01125125           0.00404853
  3    -1           0.00211274           0.00612769           0.00220120
  3     0           0.00211274           0.00804714           0.00288701
  3     1           0.00211274           0.00612769           0.00220120
  3     2           0.00211274           0.01125125           0.00404853
  3     3           0.00211274           0.00689547           0.00247552
