Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.73912360
Total DOS in Cell and MT Volumes =    4.58667424   4.19383004
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.47954282           0.38772180           0.27778252
  1    -1          -0.06098997           0.22175520           0.13177859
  1     0          -0.06098997           0.22175520           0.13177859
  1     1          -0.06098997           0.22175520           0.13177859
  2    -2           2.72527317           0.70673737           0.70414235
  2    -1           2.72527317           0.70673737           0.70414235
  2     0           2.72527317           0.70673737           0.70414235
  2     1           2.72527317           0.70673737           0.70414235
  2     2           2.72527317           0.70673737           0.70414235
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.73912360
Total DOS in Cell and MT Volumes =   24.68351776  23.30038290
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.53152437           0.37504606           0.26443275
  1    -1          -0.08468242           0.21039128           0.12339185
  1     0          -0.08468242           0.21039128           0.12339185
  1     1          -0.08468242           0.21039128           0.12339185
  2    -2           1.62343088           4.73545957           4.53315492
  2    -1           1.62343088           4.73545957           4.53315492
  2     0           1.62343088           4.73545957           4.53315492
  2     1           1.62343088           4.73545957           4.53315492
  2     2           1.62343088           4.73545957           4.53315492
