Atom: Fe, Spin: 1, Partial Phase Shift and DOS at Energy =    0.73912360
Total DOS in Cell and MT Volumes =   48.48921525  48.09894681
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.47954282           0.13728789           0.00000000
  1    -1          -0.06098997           0.14408565           0.00000000
  1     0          -0.06098997           0.14408565           0.00000000
  1     1          -0.06098997           0.14408565          -0.00055349
  2    -2           2.72527317           8.18743473          -0.00000000
  2    -1           2.72527317          15.16993147          -0.00000000
  2     0           2.72527317           1.20493800          -0.00000000
  2     1           2.72527317          15.16993147           0.00000000
  2     2           2.72527317           8.18743473           0.00000000
Atom: Fe, Spin: 2, Partial Phase Shift and DOS at Energy =    0.73912360
Total DOS in Cell and MT Volumes =    6.73332982   6.30067907
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.53152437           0.01203949           0.00854351
  1    -1          -0.08468242           0.13283089           0.07791297
  1     0          -0.08468242           0.13283089           0.07791297
  1     1          -0.08468242           0.13283089           0.07791297
  2    -2           1.62343088           1.10920487           1.06301278
  2    -1           1.62343088           1.88597820           1.80634553
  2     0           1.62343088           0.33243153           0.31968003
  2     1           1.62343088           1.88597820           1.80634553
  2     2           1.62343088           1.10920487           1.06301278
