Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    2.46170197
Total DOS in Cell and MT Volumes =    7.99176349   6.67844058
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -2.10799928           0.60149303           0.35887448
  1    -1          -1.26813110           0.05472689           0.03865705
  1     0          -1.26813110           0.05472689           0.03865705
  1     1          -1.26813110           0.05472689           0.03865705
  2    -2           1.33526770           1.43310949           1.30005469
  2    -1           1.33526770           0.62218627           0.56442503
  2     0           1.33526770           2.24403272           2.03568434
  2     1           1.33526770           0.62218627           0.56442503
  2     2           1.33526770           1.43310949           1.30005469
  3    -3           0.06419665           0.13692209           0.06896932
  3    -2           0.06419665           0.09015424           0.04540372
  3    -1           0.06419665           0.15001537           0.07556352
  3     0           0.06419665           0.11728217           0.05907803
  3     1           0.06419665           0.15001537           0.07556352
  3     2           0.06419665           0.09015424           0.04540372
  3     3           0.06419665           0.13692209           0.06896932
