Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    2.06774933
Total DOS in Cell and MT Volumes =    6.09379852   5.06051721
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.91203734           0.24282341           0.14372457
  1    -1          -1.09785045           0.17763247           0.11750617
  1     0          -1.09785045           0.17786344           0.11750617
  1     1          -1.09785045           0.17809440           0.11750617
  2    -2           1.41343966           0.95308735           0.86099769
  2    -1           1.44108363           0.90664039           0.83745749
  2     0           1.38579568           0.99777994           0.88453789
  2     1           1.44108363           0.90841407           0.83745749
  2     2           1.41343966           0.95221983           0.86099769
  3    -3           0.04557900           0.08011834           0.03715226
  3    -2           0.05197612           0.06778556           0.03870457
  3    -1           0.04617150           0.08075305           0.03728652
  3     0           0.04469029           0.07974223           0.03695087
  3     1           0.04617158           0.08075011           0.03728652
  3     2           0.05197612           0.06883010           0.03870457
  3     3           0.04557908           0.08057733           0.03715226
  4    -4           0.00177102           0.00735709           0.00215326
  4    -3           0.00250313           0.00422882           0.00221229
  4    -2           0.00221623           0.00621694           0.00219434
  4    -1           0.00184471           0.00782562           0.00215421
  4     0           0.00180206           0.00690638           0.00216011
  4     1           0.00184471           0.00784958           0.00215421
  4     2           0.00221623           0.00619892           0.00219434
  4     3           0.00250312           0.00602645           0.00221229
  4     4           0.00177102           0.00807670           0.00215326
