Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    2.06774933
Total DOS in Cell and MT Volumes =   20.13168261  16.34620209
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.91203734           1.02207720           0.65134319
  1    -1          -1.09785045           0.42627201           0.29583827
  1     0          -1.09785045           0.42650297           0.29583827
  1     1          -1.09785045           0.42673393           0.29583827
  2    -2           1.41343966           2.79372411           2.53941664
  2    -1           1.44108363           3.36757955           3.10535241
  2     0           1.38579568           2.21811430           1.97348087
  2     1           1.44108363           3.36935323           3.10535241
  2     2           1.41343966           2.79285658           2.53941664
  3    -3           0.04557900           0.52416157           0.24819459
  3    -2           0.05197612           0.21002991           0.10682046
  3    -1           0.04617150           0.45309429           0.21271323
  3     0           0.04469029           0.63133843           0.30141662
  3     1           0.04617158           0.45309135           0.21271323
  3     2           0.05197612           0.21107445           0.10682046
  3     3           0.04557908           0.52462056           0.24819459
  4    -4           0.00177102           0.04510377           0.01803194
  4    -3           0.00250313           0.01008386           0.00384077
  4    -2           0.00221623           0.01832410           0.00632324
  4    -1           0.00184471           0.03732700           0.00980234
  4     0           0.00180206           0.05685753           0.03145538
  4     1           0.00184471           0.03735096           0.00980234
  4     2           0.00221623           0.01830608           0.00632324
  4     3           0.00250312           0.01188150           0.00384077
  4     4           0.00177102           0.04582338           0.01803194
