Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    1.55216355
Total DOS in Cell and MT Volumes =   10.83763406   9.38425576
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.60597441           0.16195490           0.09758472
  1    -1          -0.84013339           0.10318786           0.06126545
  1     0          -0.84013339           0.10318786           0.06126545
  1     1          -0.84013339           0.10318786           0.06126545
  2    -2           1.54717641           2.11080808           1.93662298
  2    -1           1.54717641           1.02886322           0.94408589
  2     0           1.54717641           3.19275293           2.92916008
  2     1           1.54717641           1.02886322           0.94408589
  2     2           1.54717641           2.11080808           1.93662298
  3    -3           0.03109936           0.11376083           0.05246150
  3    -2           0.03109936           0.15180623           0.07001328
  3    -1           0.03109936           0.15696772           0.07238706
  3     0           0.03109936           0.04895049           0.02257317
  3     1           0.03109936           0.15696772           0.07238706
  3     2           0.03109936           0.15180623           0.07001328
  3     3           0.03109936           0.11376083           0.05246150
