Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.92936703
Total DOS in Cell and MT Volumes =   14.88020187  13.14081585
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.09903004           0.59728469           0.38439423
  1    -1          -0.46713939           0.34981105           0.19494526
  1     0          -0.46713939           0.35044039           0.19494526
  1     1          -0.46713939           0.35106974           0.19494526
  2    -2           1.78855578           2.62513703           2.43171245
  2    -1           1.82105522           2.46447261           2.32381560
  2     0           1.75605633           2.77916962           2.53960930
  2     1           1.82105522           2.47067003           2.32381560
  2     2           1.78855577           2.62160391           2.43171245
  3    -3           0.01175917           0.03925674           0.01613919
  3    -2           0.01379487           0.03274775           0.01664464
  3    -1           0.01195495           0.04024834           0.01617805
  3     0           0.01146551           0.03934199           0.01608089
  3     1           0.01195497           0.04024690           0.01617805
  3     2           0.01379487           0.03320880           0.01664464
  3     3           0.01175919           0.04051400           0.01613919
  4    -4           0.00031991          -0.00014363           0.00075605
  4    -3           0.00048805          -0.00395312           0.00078280
  4    -2           0.00042340          -0.00014217           0.00079421
  4    -1           0.00033641           0.00254039           0.00073371
  4     0           0.00032675          -0.00046477           0.00078223
  4     1           0.00033641           0.00255868           0.00073371
  4     2           0.00042340          -0.00075384           0.00079421
  4     3           0.00048805           0.00226258           0.00078280
  4     4           0.00031991           0.00307415           0.00075605
