Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.82745848
Total DOS in Cell and MT Volumes =   17.39078442  15.49830919
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.99604474           0.68222008           0.44998520
  1    -1          -0.39818283           0.39482374           0.22004150
  1     0          -0.39818283           0.39572219           0.22004150
  1     1          -0.39818283           0.39662065           0.22004150
  2    -2           1.83206813           3.10375728           2.89132590
  2    -1           1.87120086           2.87413416           2.72071305
  2     0           1.79293540           3.32869406           3.06193874
  2     1           1.87120086           2.87413416           2.72071305
  2     2           1.83206813           3.09907094           2.89132590
  3    -3           0.00922820           0.03508317           0.01444223
  3    -2           0.01151411           0.03085204           0.01494732
  3    -1           0.01001250           0.03526484           0.01459627
  3     0           0.00805183           0.03711435           0.01421118
  3     1           0.01001264           0.03537996           0.01459627
  3     2           0.01151411           0.03091759           0.01494732
  3     3           0.00922834           0.03699520           0.01444223
