Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.82745848
Total DOS in Cell and MT Volumes =   37.05088365  32.13286964
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.99604474           0.24057848           0.15865072
  1    -1          -0.39818283           1.62936930           0.93984654
  1     0          -0.39818283           1.63026775           0.93984654
  1     1          -0.39818283           1.63116621           0.93984654
  2    -2           1.83206813           5.21249934           4.91496389
  2    -1           1.87120086           9.03730971           8.55567629
  2     0           1.79293540           1.38300264           1.27425149
  2     1           1.87120086           9.03730971           8.55567629
  2     2           1.83206813           5.20781301           4.91496389
  3    -3           0.00922820           0.28703148           0.12463493
  3    -2           0.01151411           0.31502330           0.16414635
  3    -1           0.01001250           0.23096568           0.09999507
  3     0           0.00805183           0.37343387           0.16159473
  3     1           0.01001264           0.23108080           0.09999507
  3     2           0.01151411           0.31508885           0.16414635
  3     3           0.00922834           0.28894351           0.12463493
