Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.81687263
Total DOS in Cell and MT Volumes =   14.12630650  11.15856441
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.99041480           0.19958997           0.13120254
  1    -1          -0.39404584           1.27484476           0.69552894
  1     0          -0.39404584           1.27573474           0.69552894
  1     1          -0.39404584           1.27662472           0.69552894
  2    -2           1.79127557           2.03425663           1.87754572
  2    -1           1.83337698           1.21536267           1.14675254
  2     0           1.74917415           2.84796782           2.60833890
  2     1           1.83337698           1.21536267           1.14675254
  2     2           1.79127557           2.02907386           1.87754572
  3    -3           0.00883458           0.12510722           0.04517483
  3    -2           0.01103086           0.06437653           0.02840336
  3    -1           0.00958864           0.12282341           0.04749235
  3     0           0.00770355           0.13081273           0.04169855
  3     1           0.00958877           0.12293309           0.04749235
  3     2           0.01103086           0.06443880           0.02840336
  3     3           0.00883471           0.12699687           0.04517483
