Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.81009737
Total DOS in Cell and MT Volumes =    7.41114063   5.83661241
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.99066084           0.06362160           0.03887577
  1    -1          -0.39754359           0.47210350           0.22642034
  1     0          -0.39697922           0.59540383           0.28615451
  1     1          -0.39754284           0.47272316           0.22642034
  2    -2           1.78349297           1.16357511           1.05608731
  2    -1           1.82161295           1.03239750           0.95868510
  2     0           1.74915816           1.00322063           0.89462646
  2     1           1.82161597           1.04001500           0.95868510
  2     2           1.78346517           1.15886613           1.05608731
  3    -3           0.00785421           0.05144864           0.01737822
  3    -2           0.00966523           0.03495403           0.01372061
  3    -1           0.00798316           0.06404089           0.02055317
  3     0           0.00784572           0.04969524           0.01627557
  3     1           0.00798318           0.06580376           0.02055317
  3     2           0.00966511           0.03840873           0.01372060
  3     3           0.00785423           0.05456105           0.01737822
  4    -4           0.00013520           0.00316037           0.00130174
  4    -3           0.00028397           0.00068765           0.00227685
  4    -2           0.00021987           0.00549632           0.00202535
  4    -1           0.00014660           0.00624801           0.00141762
  4     0           0.00016388           0.00482931           0.00094750
  4     1           0.00014660           0.00681094           0.00141762
  4     2           0.00021987           0.00505313           0.00202535
  4     3           0.00028397           0.00954545           0.00227685
  4     4           0.00013520           0.00847065           0.00130174
