Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80664603
Total DOS in Cell and MT Volumes =   19.60701364  15.55516023
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.02058444           0.67274578           0.27603377
  1    -1          -0.43348278           0.38553284           0.12203604
  1     0          -0.42019173           0.35189592           0.12621586
  1     1          -0.43323545           0.38086580           0.12203604
  2    -2           1.69641091           3.73917193           3.08058087
  2    -1           1.77472012           3.38524677           2.86518140
  2     0           1.72910651           3.57911795           2.96689426
  2     1           1.77555087           3.33371451           2.86518140
  2     2           1.69652523           3.71546943           3.08058087
  3    -3           0.00314801           0.01287810           0.00671095
  3    -2           0.00511573          -0.00493508           0.00712611
  3    -1           0.00365311           0.01350737           0.00672470
  3     0           0.00655469           0.03002778           0.00647084
  3     1           0.00365876           0.03579578           0.00672470
  3     2           0.00511609           0.03224506           0.00712611
  3     3           0.00315055           0.03922381           0.00671095
  4    -4          -0.00030324          -0.02737894           0.00035216
  4    -3          -0.00009410          -0.03280638           0.00034616
  4    -2          -0.00024730          -0.02882984           0.00038490
  4    -1          -0.00018075          -0.00120325           0.00022301
  4     0          -0.00002373          -0.00174802           0.00021291
  4     1          -0.00018074           0.00195114           0.00022301
  4     2          -0.00024730          -0.01197546           0.00038490
  4     3          -0.00009410           0.00275365           0.00034616
  4     4          -0.00030324           0.00374697           0.00035216
