Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80664603
Total DOS in Cell and MT Volumes =   15.41768784  10.07606190
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.02056943           1.11116076           0.51015347
  1    -1          -0.43347087           1.44862778           0.47772129
  1     0          -0.42019419           1.32074833           0.46981294
  1     1          -0.43322381           1.44396119           0.47772128
  2    -2           1.69643688           2.05527790           1.69334457
  2    -1           1.77470733           1.87670454           1.57938471
  2     0           1.72911288           1.71067655           1.43872265
  2     1           1.77553800           1.82518509           1.57938471
  2     2           1.69655100           2.03158897           1.69334457
  3    -3           0.00315007           0.06276710           0.01487853
  3    -2           0.00511609           0.04363203           0.02154661
  3    -1           0.00365344           0.07414996           0.02012507
  3     0           0.00655549           0.09141112           0.02091465
  3     1           0.00365909           0.09643761           0.02012507
  3     2           0.00511646           0.08081246           0.02154661
  3     3           0.00315260           0.08911033           0.01487853
  4    -4          -0.00030305          -0.02503368           0.00184652
  4    -3          -0.00009403          -0.01113027           0.00301029
  4    -2          -0.00024727           0.00846179           0.00318404
  4    -1          -0.00018071          -0.00349783           0.00203038
  4     0          -0.00002367           0.03116126           0.00231418
  4     1          -0.00018071          -0.00034232           0.00203038
  4     2          -0.00024727           0.02531337           0.00318404
  4     3          -0.00009403           0.02442122           0.00301029
  4     4          -0.00030304           0.00608259           0.00184652
