Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.85205793
Total DOS in Cell and MT Volumes =   16.81012337  14.84237931
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.02446767           0.64757324           0.41116816
  1    -1          -0.41516146           0.37249291           0.20114604
  1     0          -0.41515218           0.37286505           0.20115459
  1     1          -0.41516146           0.37337411           0.20114604
  2    -2           1.80896275           2.99135200           2.76315209
  2    -1           1.83699778           2.84324453           2.67237884
  2     0           1.78094380           3.13216639           2.85369535
  2     1           1.83699778           2.85057117           2.67237884
  2     2           1.80896242           2.98822811           2.76315209
  3    -3           0.01064695           0.03568403           0.01384337
  3    -2           0.01132602           0.02916475           0.01409436
  3    -1           0.01067646           0.03635348           0.01385187
  3     0           0.01060641           0.03583994           0.01382966
  3     1           0.01067647           0.03640362           0.01385187
  3     2           0.01132602           0.02955371           0.01409436
  3     3           0.01064695           0.03664140           0.01384337
  4    -4           0.00036496          -0.00081826           0.00061074
  4    -3           0.00040210          -0.00541944           0.00063599
  4    -2           0.00038513          -0.00111298           0.00064261
  4    -1           0.00036907           0.00207687           0.00059642
  4     0           0.00036807          -0.00100087           0.00062686
  4     1           0.00036907           0.00210584           0.00059642
  4     2           0.00038513          -0.00180673           0.00064261
  4     3           0.00040210           0.00194247           0.00063599
  4     4           0.00036496           0.00264804           0.00061074
