Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.85205793
Total DOS in Cell and MT Volumes =   12.99123268  10.76033260
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.02446842           0.25503397           0.16145132
  1    -1          -0.41516222           0.79616385           0.42899115
  1     0          -0.41515154           0.78500600           0.42275309
  1     1          -0.41516222           0.79704507           0.42899115
  2    -2           1.80895500           1.87632714           1.74660348
  2    -1           1.83700003           2.26439163           2.14252143
  2     0           1.78094590           1.36489696           1.24435406
  2     1           1.83700003           2.27171830           2.14252143
  2     2           1.80895467           1.87320304           1.74660348
  3    -3           0.01064683           0.09108319           0.03455009
  3    -2           0.01132601           0.08841690           0.04473898
  3    -1           0.01067647           0.08878383           0.03365526
  3     0           0.01060642           0.08110404           0.03056738
  3     1           0.01067647           0.08883399           0.03365526
  3     2           0.01132600           0.08880588           0.04473898
  3     3           0.01064683           0.09204061           0.03455009
  4    -4           0.00036495           0.00735916           0.00214349
  4    -3           0.00040210           0.00780003           0.00803488
  4    -2           0.00038513           0.00858806           0.00512226
  4    -1           0.00036907           0.01122759           0.00319915
  4     0           0.00036808           0.00826510           0.00208642
  4     1           0.00036907           0.01125655           0.00319915
  4     2           0.00038513           0.00789424           0.00512226
  4     3           0.00040210           0.01516201           0.00803488
  4     4           0.00036495           0.01082557           0.00214349
