Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80937465
Total DOS in Cell and MT Volumes =   17.32891828  15.45741303
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96896743           0.69184050           0.45674399
  1    -1          -0.38352357           0.39620188           0.22071447
  1     0          -0.38352357           0.39691374           0.22071447
  1     1          -0.38352357           0.39762560           0.22071447
  2    -2           1.86896381           3.08454682           2.87685201
  2    -1           1.90228861           2.88673413           2.73443147
  2     0           1.83563900           3.27850946           3.01927255
  2     1           1.90228861           2.88673413           2.73443147
  2     2           1.86896381           3.08069678           2.87685201
  3    -3           0.00915141           0.03370572           0.01369453
  3    -2           0.01077757           0.02822583           0.01409983
  3    -1           0.00929284           0.03478510           0.01372215
  3     0           0.00893927           0.03386562           0.01365311
  3     1           0.00929285           0.03478371           0.01372215
  3     2           0.01077757           0.02862121           0.01409983
  3     3           0.00915142           0.03512806           0.01369453
