Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80416038
Total DOS in Cell and MT Volumes =   15.64233089  12.62191730
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96466906           0.91818796           0.60574440
  1    -1          -0.38069411           1.12357505           0.62525666
  1     0          -0.38069411           1.12429279           0.62525666
  1     1          -0.38069411           1.12501054           0.62525666
  2    -2           1.86698805           2.02283094           1.88890846
  2    -1           1.89994470           2.29330497           2.17406633
  2     0           1.83403139           1.74405595           1.60375062
  2     1           1.89994470           2.30102120           2.17406633
  2     2           1.86698805           2.01838805           1.88890846
  3    -3           0.00895502           0.12852174           0.05142045
  3    -2           0.01057057           0.11824855           0.06045646
  3    -1           0.00911325           0.13143841           0.05181690
  3     0           0.00871768           0.12594045           0.05082577
  3     1           0.00911327           0.13143710           0.05181690
  3     2           0.01057057           0.11863026           0.06045646
  3     3           0.00895504           0.12995592           0.05142045
  4    -4           0.00022559           0.00626647           0.00256212
  4    -3           0.00034983           0.00870681           0.00555130
  4    -2           0.00030242           0.00824086           0.00341745
  4    -1           0.00023770           0.01435334           0.00367239
  4     0           0.00023051           0.00138730           0.00208280
  4     1           0.00023770           0.01437276           0.00367239
  4     2           0.00030242           0.00737989           0.00341745
  4     3           0.00034983           0.01644246           0.00555130
  4     4           0.00022559           0.01034110           0.00256212
