Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.81038121
Total DOS in Cell and MT Volumes =   30.58051974  26.55939990
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.97007559           0.33666320           0.22217134
  1    -1          -0.38209112           0.91745454           0.50956853
  1     0          -0.38209112           0.91745454           0.50956853
  1     1          -0.38209112           0.91745454           0.50956853
  2    -2           1.89344912           4.62778145           4.34454200
  2    -1           1.89344912           7.07218381           6.63835787
  2     0           1.89344912           2.18337909           2.05072612
  2     1           1.89344912           7.07218381           6.63835787
  2     2           1.89344912           4.62778145           4.34454200
  3    -3           0.01015401           0.29208626           0.12123616
  3    -2           0.01015401           0.23680254           0.09827391
  3    -1           0.01015401           0.24038013           0.09977317
  3     0           0.01015401           0.36964547           0.15343064
  3     1           0.01015401           0.24038013           0.09977317
  3     2           0.01015401           0.23680254           0.09827391
  3     3           0.01015401           0.29208626           0.12123616
