Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80704891
Total DOS in Cell and MT Volumes =   17.38802292  15.52811264
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96867660           0.68870986           0.45414267
  1    -1          -0.38104284           0.39503588           0.21929270
  1     0          -0.38104284           0.39503588           0.21929270
  1     1          -0.38104284           0.39503588           0.21929270
  2    -2           1.87663251           3.05666238           2.86407664
  2    -1           1.87663251           3.05666238           2.86407664
  2     0           1.87663251           3.05666238           2.86407664
  2     1           1.87663251           3.05666238           2.86407664
  2     2           1.87663251           3.05666238           2.86407664
  3    -3           0.01000757           0.03298479           0.01367267
  3    -2           0.01000757           0.03298479           0.01367267
  3    -1           0.01000757           0.03298479           0.01367267
  3     0           0.01000757           0.03298479           0.01367267
  3     1           0.01000757           0.03298479           0.01367267
  3     2           0.01000757           0.03298479           0.01367267
  3     3           0.01000757           0.03298479           0.01367267
