Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80704891
Total DOS in Cell and MT Volumes =    8.99554830   7.49708578
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96867660           0.22934560           0.15118082
  1    -1          -0.38104284           0.55661115           0.30895455
  1     0          -0.38104284           0.55661115           0.30895455
  1     1          -0.38104284           0.55661115           0.30895455
  2    -2           1.87663251           1.26536799           1.18666704
  2    -1           1.87663251           1.58483789           1.48580351
  2     0           1.87663251           0.94589810           0.88753057
  2     1           1.87663251           1.58483789           1.48580351
  2     2           1.87663251           1.26536799           1.18666704
  3    -3           0.01000757           0.06043910           0.02505580
  3    -2           0.01000757           0.07325605           0.03036587
  3    -1           0.01000757           0.06314269           0.02617357
  3     0           0.01000757           0.05638371           0.02337915
  3     1           0.01000757           0.06314269           0.02617357
  3     2           0.01000757           0.07325605           0.03036587
  3     3           0.01000757           0.06043910           0.02505580
