Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80550988
Total DOS in Cell and MT Volumes =   10.56106710   9.00732483
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96775372           0.15015961           0.09889640
  1    -1          -0.38038823           0.48222680           0.26756728
  1     0          -0.38038823           0.48222680           0.26756728
  1     1          -0.38038823           0.48222680           0.26756728
  2    -2           1.87207404           1.55377669           1.45618537
  2    -1           1.87207404           2.18519410           2.04733020
  2     0           1.87207404           0.92235927           0.86504053
  2     1           1.87207404           2.18519410           2.04733020
  2     2           1.87207404           1.55377669           1.45618537
  3    -3           0.00994617           0.07905597           0.03275752
  3    -2           0.00994617           0.08592400           0.03559762
  3    -1           0.00994617           0.07265274           0.03010172
  3     0           0.00994617           0.08866082           0.03674122
  3     1           0.00994617           0.07265274           0.03010172
  3     2           0.00994617           0.08592400           0.03559762
  3     3           0.00994617           0.07905597           0.03275752
