Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.79675862
Total DOS in Cell and MT Volumes =   18.51522943  16.49656328
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96270973           0.69179946           0.45509317
  1    -1          -0.37896822           0.39171209           0.21763632
  1     0          -0.37896822           0.39241336           0.21763632
  1     1          -0.37896822           0.39311463           0.21763632
  2    -2           1.81313345           3.32951813           3.08873548
  2    -1           1.84953087           3.11851412           2.94181267
  2     0           1.77673604           3.53616568           3.23565830
  2     1           1.84953087           3.11851412           2.94181267
  2     2           1.81313345           3.32516165           3.08873548
  3    -3           0.00867430           0.03209883           0.01300569
  3    -2           0.01020822           0.02688418           0.01338282
  3    -1           0.00880447           0.03315676           0.01303066
  3     0           0.00847905           0.03226445           0.01296822
  3     1           0.00880448           0.03315548           0.01303066
  3     2           0.01020822           0.02725641           0.01338282
  3     3           0.00867431           0.03350008           0.01300569
