Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.97760556
Total DOS in Cell and MT Volumes =   14.93135461  12.60101180
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.25914054           0.52712748           0.32776456
  1    -1          -0.58479379           0.31122397           0.17478166
  1     0          -0.58479379           0.31122397           0.17478166
  1     1          -0.58479379           0.31122397           0.17478166
  2    -2           1.25827511           2.63209197           2.32332645
  2    -1           1.25827511           2.63209197           2.32332645
  2     0           1.25827511           2.63209197           2.32332645
  2     1           1.25827511           2.63209197           2.32332645
  2     2           1.25827511           2.63209197           2.32332645
  3    -3           0.01484181           0.04429934           0.01889572
  3    -2           0.01484181           0.04429934           0.01889572
  3    -1           0.01484181           0.04429934           0.01889572
  3     0           0.01484181           0.04429934           0.01889572
  3     1           0.01484181           0.04429934           0.01889572
  3     2           0.01484181           0.04429934           0.01889572
  3     3           0.01484181           0.04429934           0.01889572
