Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.01334634
Total DOS in Cell and MT Volumes =   14.06249504  11.76961407
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.30239080           0.51783547           0.32184229
  1    -1          -0.62244834           0.30985376           0.17545469
  1     0          -0.62244834           0.30985376           0.17545469
  1     1          -0.62244834           0.30985376           0.17545469
  2    -2           1.21854557           2.45427484           2.15473159
  2    -1           1.21854557           2.45427484           2.15473159
  2     0           1.21854557           2.45427484           2.15473159
  2     1           1.21854557           2.45427484           2.15473159
  2     2           1.21854557           2.45427484           2.15473159
  3    -3           0.01652930           0.04910344           0.02110711
  3    -2           0.01652930           0.04910344           0.02110711
  3    -1           0.01652930           0.04910344           0.02110711
  3     0           0.01652930           0.04910344           0.02110711
  3     1           0.01652930           0.04910344           0.02110711
  3     2           0.01652930           0.04910344           0.02110711
  3     3           0.01652930           0.04910344           0.02110711
