Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.01334634
Total DOS in Cell and MT Volumes =    9.00019057   6.87003478
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.30239080           0.32047590           0.19918044
  1    -1          -0.62244834           0.74566668           0.42223375
  1     0          -0.62244834           0.74566668           0.42223375
  1     1          -0.62244834           0.74566668           0.42223375
  2    -2           1.21854557           1.07976078           0.94797641
  2    -1           1.21854557           1.56078249           1.37028961
  2     0           1.21854557           0.59873907           0.52566321
  2     1           1.21854557           1.56078249           1.37028961
  2     2           1.21854557           1.07976078           0.94797641
  3    -3           0.01652930           0.07827288           0.03364559
  3    -2           0.01652930           0.08341483           0.03585586
  3    -1           0.01652930           0.08766285           0.03768187
  3     0           0.01652930           0.06418792           0.02759117
  3     1           0.01652930           0.08766285           0.03768187
  3     2           0.01652930           0.08341483           0.03585586
  3     3           0.01652930           0.07827288           0.03364559
