Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.98905238
Total DOS in Cell and MT Volumes =    9.12192497   6.94683465
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.27703386           0.32645117           0.20270860
  1    -1          -0.59775768           0.82004937           0.46170674
  1     0          -0.59775768           0.82069593           0.46170674
  1     1          -0.59775768           0.82134249           0.46170674
  2    -2           1.19324951           1.06991555           0.94443246
  2    -1           1.24948298           1.47765216           1.32802886
  2     0           1.13701604           0.66121130           0.56083605
  2     1           1.24948298           1.47765216           1.32802886
  2     2           1.19324951           1.06894790           0.94443246
  3    -3           0.01328123           0.08022418           0.03402866
  3    -2           0.01638353           0.08313463           0.03983078
  3    -1           0.01432904           0.09465370           0.04091326
  3     0           0.01170963           0.06027604           0.02370175
  3     1           0.01432924           0.09481313           0.04091326
  3     2           0.01638353           0.08322851           0.03983078
  3     3           0.01328143           0.08167674           0.03402866
