Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.98905239
Total DOS in Cell and MT Volumes =    9.12192496   6.94683464
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.27703386           0.32645117           0.20270860
  1    -1          -0.59775768           0.82004938           0.46170675
  1     0          -0.59775768           0.82069594           0.46170675
  1     1          -0.59775768           0.82134250           0.46170675
  2    -2           1.19324950           1.06991555           0.94443245
  2    -1           1.24948297           1.47765215           1.32802885
  2     0           1.13701604           0.66121130           0.56083605
  2     1           1.24948297           1.47765215           1.32802885
  2     2           1.19324950           1.06894790           0.94443245
  3    -3           0.01328123           0.08022418           0.03402866
  3    -2           0.01638353           0.08313464           0.03983078
  3    -1           0.01432904           0.09465370           0.04091326
  3     0           0.01170963           0.06027603           0.02370175
  3     1           0.01432924           0.09481313           0.04091326
  3     2           0.01638353           0.08322851           0.03983078
  3     3           0.01328143           0.08167674           0.03402866
