Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95815534
Total DOS in Cell and MT Volumes =   15.02137178  12.58300256
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24707552           0.53044387           0.32781393
  1    -1          -0.57795089           0.30691953           0.17296093
  1     0          -0.57795089           0.30740850           0.17296093
  1     1          -0.57795089           0.30789746           0.17296093
  2    -2           1.18166129           2.67163929           2.32168571
  2    -1           1.22798914           2.58496730           2.31769612
  2     0           1.13533343           2.75382301           2.32567532
  2     1           1.22798914           2.59293093           2.31769612
  2     2           1.18166128           2.67113282           2.32168571
  3    -3           0.01271106           0.04298207           0.01756950
  3    -2           0.01487115           0.03556844           0.01811876
  3    -1           0.01292683           0.04380000           0.01761688
  3     0           0.01238741           0.04297700           0.01749843
  3     1           0.01292685           0.04379880           0.01761688
  3     2           0.01487115           0.03605511           0.01811876
  3     3           0.01271107           0.04395881           0.01756950
  4    -4           0.00036291           0.00040688           0.00084679
  4    -3           0.00054843          -0.00547350           0.00088098
  4    -2           0.00047841          -0.00057934           0.00088839
  4    -1           0.00038026           0.00277976           0.00082938
  4     0           0.00037087           0.00024338           0.00086705
  4     1           0.00038026           0.00279874           0.00082938
  4     2           0.00047841          -0.00104665           0.00088839
  4     3           0.00054843           0.00250912           0.00088098
  4     4           0.00036291           0.00343043           0.00084679
