Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95815534
Total DOS in Cell and MT Volumes =    5.99369256   5.08688128
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24707552           0.09741667           0.05905173
  1    -1          -0.57795089           0.21985177           0.12238620
  1     0          -0.57795089           0.22034073           0.12238620
  1     1          -0.57795089           0.22082970           0.12238620
  2    -2           1.18166129           0.87449341           0.78810061
  2    -1           1.22798914           1.53254753           1.39648098
  2     0           1.13533343           0.21195100           0.17972025
  2     1           1.22798914           1.54051116           1.39648098
  2     2           1.18166128           0.87398694           0.78810061
  3    -3           0.01271106           0.01722366           0.00650013
  3    -2           0.01487115           0.02669601           0.01576335
  3    -1           0.01292683           0.01783549           0.00677808
  3     0           0.01238741           0.01752773           0.00608319
  3     1           0.01292685           0.01783429           0.00677808
  3     2           0.01487115           0.02718267           0.01576335
  3     3           0.01271107           0.01820039           0.00650013
  4    -4           0.00036291           0.00037416           0.00043168
  4    -3           0.00054843           0.01045667           0.01321835
  4    -2           0.00047841           0.00853696           0.00762359
  4    -1           0.00038026           0.00411517           0.00237110
  4     0           0.00037087           0.00173965           0.00033180
  4     1           0.00038026           0.00413415           0.00237110
  4     2           0.00047841           0.00806965           0.00762359
  4     3           0.00054843           0.01843929           0.01321835
  4     4           0.00036291           0.00339771           0.00043168
