Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95744167
Total DOS in Cell and MT Volumes =   25.53731836  19.20335336
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24799253           1.72923988           1.07058409
  1    -1          -0.57557141           2.14639759           1.20344504
  1     0          -0.57557141           2.14639759           1.20344504
  1     1          -0.57557141           2.14639759           1.20344504
  2    -2           1.19370334           3.29836229           2.89144648
  2    -1           1.19370334           2.70429964           2.36976899
  2     0           1.19370334           3.89242494           3.41312396
  2     1           1.19370334           2.70429964           2.36976899
  2     2           1.19370334           3.29836229           2.89144648
  3    -3           0.01383955           0.15293552           0.06486731
  3    -2           0.01383955           0.22690148           0.09624279
  3    -1           0.01383955           0.17663656           0.07492340
  3     0           0.01383955           0.11738396           0.04978318
  3     1           0.01383955           0.17663656           0.07492340
  3     2           0.01383955           0.22690148           0.09624279
  3     3           0.01383955           0.15293552           0.06486731
  4    -4           0.00052365           0.02003622           0.00541126
  4    -3           0.00052365           0.03955846           0.01068188
  4    -2           0.00052365           0.02516093           0.00679429
  4    -1           0.00052365           0.02543670           0.00686937
  4     0           0.00052365           0.02042121           0.00551548
  4     1           0.00052365           0.02543670           0.00686937
  4     2           0.00052365           0.02516093           0.00679429
  4     3           0.00052365           0.03955846           0.01068188
  4     4           0.00052365           0.02003622           0.00541126
