Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.77551365
Total DOS in Cell and MT Volumes =   18.34643641  14.24653257
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.04973891           0.75022046           0.46763754
  1    -1          -0.44147336           1.75657634           0.65830721
  1     0          -0.44357855           2.38554899           0.93787956
  1     1          -0.44147386           1.59339127           0.65828903
  2    -2           1.16325678          16.18714596           2.36525157
  2    -1           1.20738401          15.46654169           2.15882779
  2     0           1.09965563           4.72119934           1.39902706
  2     1           1.20738388           5.33721186           2.15895284
  2     2           1.16326321           4.36680776           2.36526135
  3    -3           0.00879798           0.06555761           0.02741343
  3    -2           0.01036103           0.14573506           0.06854766
  3    -1           0.00873520           0.13187640           0.04882455
  3     0           0.00840817           0.10767240           0.03838175
  3     1           0.00873517           0.13219384           0.04882170
  3     2           0.01036104           0.14619890           0.06854804
  3     3           0.00879808           0.06692721           0.02740766
  4    -4           0.00022266           0.01272939           0.00398326
  4    -3           0.00035694           0.01304570           0.00828035
  4    -2           0.00028719           0.01329030           0.00804103
  4    -1           0.00023488           0.01478419           0.00438798
  4     0           0.00020712           0.01037143           0.00228677
  4     1           0.00023488           0.01537247           0.00444770
  4     2           0.00028719           0.01328793           0.00803723
  4     3           0.00035694           0.02311163           0.00829749
  4     4           0.00022266           0.01770660           0.00398199
  5    -5           0.00000163          -0.24163541           0.00454248
  5    -4           0.00000974          -0.17528924           0.00148850
  5    -3           0.00000728          -0.02623103           0.00075116
  5    -2           0.00000626          -0.02130386           0.00177607
  5    -1           0.00000048          -0.27700162           0.00413023
  5     0           0.00000489          -0.31322996           0.01582254
  5     1           0.00000048          -0.26734698           0.00419651
  5     2           0.00000626          -0.01055063           0.00178205
  5     3           0.00000728          -0.01317557           0.00076552
  5     4           0.00000974          -0.10786079           0.00149084
  5     5           0.00000163          -0.11207193           0.00454881
  6    -6          -0.00000021          -8.76179575           0.08954895
  6    -5           0.00000015          -7.10947545           0.06868506
  6    -4           0.00000007          -1.74963832           0.02040898
  6    -3           0.00000011          -0.35575577           0.00924929
  6    -2          -0.00000013          -3.90739166           0.02563103
  6    -1          -0.00000014          -5.16449143           0.08306069
  6     0          -0.00000007          -2.73816373           0.06326497
  6     1          -0.00000014          -4.56073632           0.08301720
  6     2          -0.00000013          -3.04579663           0.02562975
  6     3           0.00000011           0.10212091           0.00910383
  6     4           0.00000007           1.00734144           0.02036602
  6     5           0.00000015           1.41804506           0.06857931
  6     6          -0.00000021           1.28336634           0.08957023
