Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.79828695
Total DOS in Cell and MT Volumes =   18.83172427  15.61506490
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.08517403           0.64410761           0.38665888
  1    -1          -0.46173201           0.35773168           0.18583731
  1     0          -0.46174824           0.35767992           0.18584446
  1     1          -0.46173200           0.35846450           0.18583731
  2    -2           1.13633041           3.38899228           2.90829856
  2    -1           1.17534936           3.32799631           2.94507714
  2     0           1.09565392           3.43859125           2.86693739
  2     1           1.17534941           3.33604167           2.94507714
  2     2           1.13632301           3.39000611           2.90829856
  3    -3           0.00962989           0.03609402           0.01307212
  3    -2           0.01021676           0.02923587           0.01329696
  3    -1           0.00966286           0.03658404           0.01308359
  3     0           0.00958460           0.03617658           0.01305409
  3     1           0.00966286           0.03660466           0.01308359
  3     2           0.01021676           0.02958800           0.01329696
  3     3           0.00962989           0.03682933           0.01307212
  4    -4           0.00032573          -0.00188066           0.00057423
  4    -3           0.00035691          -0.00935472           0.00060490
  4    -2           0.00034318          -0.00361306           0.00060264
  4    -1           0.00032928           0.00240589           0.00055176
  4     0           0.00032804          -0.00033236           0.00057166
  4     1           0.00032928           0.00234313           0.00055176
  4     2           0.00034318          -0.00319720           0.00060264
  4     3           0.00035691           0.00196152           0.00060490
  4     4           0.00032573           0.00266790           0.00057423
