Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.79828695
Total DOS in Cell and MT Volumes =   18.98366633  14.17495219
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.08517403           1.04674913           0.62224131
  1    -1          -0.46173201           1.59081424           0.81693155
  1     0          -0.46174824           1.21631824           0.62407732
  1     1          -0.46173200           1.59154706           0.81693155
  2    -2           1.13633041           2.68718474           2.33357607
  2    -1           1.17534935           2.90192890           2.56786571
  2     0           1.09565391           1.37939341           1.14777206
  2     1           1.17534940           2.90997425           2.56786569
  2     2           1.13632302           2.68819856           2.33357606
  3    -3           0.00962989           0.13246476           0.03950928
  3    -2           0.01021676           0.12143677           0.05294432
  3    -1           0.00966286           0.13639098           0.04939362
  3     0           0.00958459           0.06030584           0.01733887
  3     1           0.00966286           0.13641160           0.04939362
  3     2           0.01021676           0.12178891           0.05294432
  3     3           0.00962989           0.13320007           0.03950928
  4    -4           0.00032573           0.01337224           0.00276233
  4    -3           0.00035691           0.01019168           0.00696672
  4    -2           0.00034318           0.01218631           0.00747708
  4    -1           0.00032928           0.01378351           0.00335137
  4     0           0.00032804           0.01427339           0.00196651
  4     1           0.00032928           0.01372075           0.00335137
  4     2           0.00034318           0.01260219           0.00747708
  4     3           0.00035691           0.02150797           0.00696673
  4     4           0.00032573           0.01792082           0.00276234
