Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95329811
Total DOS in Cell and MT Volumes =   15.02665432  12.57304274
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24317650           0.52782420           0.32569778
  1    -1          -0.57278570           0.30640515           0.17205429
  1     0          -0.57278570           0.30669287           0.17205429
  1     1          -0.57278570           0.30698060           0.17205429
  2    -2           1.17311463           2.66862348           2.31739235
  2    -1           1.21169932           2.60307373           2.33180020
  2     0           1.13452999           2.73167502           2.30298451
  2     1           1.21169932           2.60996825           2.33180020
  2     2           1.17311469           2.66957252           2.31739235
  3    -3           0.01360393           0.04305200           0.01737590
  3    -2           0.01451385           0.03500280           0.01772108
  3    -1           0.01364542           0.04351083           0.01739195
  3     0           0.01354169           0.04308269           0.01735183
  3     1           0.01364542           0.04351007           0.01739195
  3     2           0.01451385           0.03537647           0.01772108
  3     3           0.01360393           0.04362669           0.01737590
  4    -4           0.00050883           0.00113421           0.00081947
  4    -3           0.00056294          -0.00444858           0.00084822
  4    -2           0.00053845          -0.00011848           0.00084597
  4    -1           0.00051469           0.00281324           0.00081321
  4     0           0.00051307           0.00099181           0.00082905
  4     1           0.00051469           0.00282860           0.00081321
  4     2           0.00053845          -0.00034826           0.00084597
  4     3           0.00056294           0.00246130           0.00084822
  4     4           0.00050883           0.00336309           0.00081947
