Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95577258
Total DOS in Cell and MT Volumes =   12.78420582  10.10166948
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24550449           1.31410517           0.80141080
  1    -1          -0.57687904           0.64362040           0.35668718
  1     0          -0.57687904           0.64408870           0.35668718
  1     1          -0.57687904           0.64455702           0.35668718
  2    -2           1.17498143           1.69939814           1.49482773
  2    -1           1.22415090           2.30861825           2.07242966
  2     0           1.12581195           1.08657929           0.91722585
  2     1           1.22415090           2.31577215           2.07242966
  2     2           1.17498142           1.69937629           1.49482773
  3    -3           0.01261874           0.04459114           0.01585267
  3    -2           0.01479683           0.05977419           0.03415355
  3    -1           0.01283445           0.04587876           0.01703291
  3     0           0.01229517           0.04382981           0.01408230
  3     1           0.01283447           0.04587742           0.01703291
  3     2           0.01479683           0.06027455           0.03415355
  3     3           0.01261875           0.04552641           0.01585267
  4    -4           0.00035886           0.00626823           0.00140547
  4    -3           0.00054485           0.00856397           0.00649737
  4    -2           0.00047377           0.00969191           0.00452208
  4    -1           0.00037733           0.00601968           0.00193427
  4     0           0.00036573           0.01179193           0.00157755
  4     1           0.00037733           0.00603810           0.00193427
  4     2           0.00047377           0.00937890           0.00452208
  4     3           0.00054485           0.01573629           0.00649737
  4     4           0.00035886           0.00884910           0.00140547
