Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95955014
Total DOS in Cell and MT Volumes =   14.19067121  11.23185102
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24965569           1.54510046           0.95668647
  1    -1          -0.57689383           0.60731574           0.34055416
  1     0          -0.57689383           0.60731574           0.34055416
  1     1          -0.57689383           0.60731574           0.34055416
  2    -2           1.19686133           1.85395290           1.62547214
  2    -1           1.19686133           2.92868755           2.56775672
  2     0           1.19686133           0.77921825           0.68318756
  2     1           1.19686133           2.92868755           2.56775672
  2     2           1.19686133           1.85395290           1.62547214
  3    -3           0.01392674           0.04127895           0.01751452
  3    -2           0.01392674           0.07276483           0.03087388
  3    -1           0.01392674           0.04353278           0.01847082
  3     0           0.01392674           0.03789822           0.01608009
  3     1           0.01392674           0.04353278           0.01847082
  3     2           0.01392674           0.07276483           0.03087388
  3     3           0.01392674           0.04127895           0.01751452
  4    -4           0.00052799           0.00620954           0.00167749
  4    -3           0.00052799           0.02674883           0.00722612
  4    -2           0.00052799           0.01798385           0.00485829
  4    -1           0.00052799           0.00821590           0.00221950
  4     0           0.00052799           0.00775677           0.00209547
  4     1           0.00052799           0.00821590           0.00221950
  4     2           0.00052799           0.01798385           0.00485829
  4     3           0.00052799           0.02674883           0.00722612
  4     4           0.00052799           0.00620954           0.00167749
