Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.83912711
Total DOS in Cell and MT Volumes =   17.19536169  14.51499476
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.13622864           0.54101155           0.33178274
  1    -1          -0.49479975           0.29232653           0.16218504
  1     0          -0.49479975           0.29232653           0.16218504
  1     1          -0.49479975           0.29232653           0.16218504
  2    -2           1.17298663           3.11487846           2.72233078
  2    -1           1.17298663           3.11487846           2.72233078
  2     0           1.17298663           3.11487846           2.72233078
  2     1           1.17298663           3.11487846           2.72233078
  2     2           1.17298663           3.11487846           2.72233078
  3    -3           0.01031523           0.02899689           0.01214329
  3    -2           0.01031523           0.02899689           0.01214329
  3    -1           0.01031523           0.02899689           0.01214329
  3     0           0.01031523           0.02899689           0.01214329
  3     1           0.01031523           0.02899689           0.01214329
  3     2           0.01031523           0.02899689           0.01214329
  3     3           0.01031523           0.02899689           0.01214329
