Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.83912711
Total DOS in Cell and MT Volumes =    8.56655968   6.29587482
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.13622864           0.26270634           0.16110826
  1    -1          -0.49479975           0.96048563           0.53288494
  1     0          -0.49479975           0.96048563           0.53288494
  1     1          -0.49479975           0.96048563           0.53288494
  2    -2           1.17298663           0.93382120           0.81613785
  2    -1           1.17298663           1.24129278           1.08486079
  2     0           1.17298663           0.62634963           0.54741490
  2     1           1.17298663           1.24129278           1.08486079
  2     2           1.17298663           0.93382120           0.81613785
  3    -3           0.01031523           0.05415224           0.02267782
  3    -2           0.01031523           0.08319768           0.03484144
  3    -1           0.01031523           0.07147682           0.02993299
  3     0           0.01031523           0.02816536           0.01179506
  3     1           0.01031523           0.07147682           0.02993299
  3     2           0.01031523           0.08319768           0.03484144
  3     3           0.01031523           0.05415224           0.02267782
