Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.84925934
Total DOS in Cell and MT Volumes =    8.74569820   6.42131536
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.14264697           0.24923231           0.15273005
  1    -1          -0.49997837           1.05822906           0.59157337
  1     0          -0.49997837           1.05853367           0.59157337
  1     1          -0.49997837           1.05883828           0.59157337
  2    -2           1.13040857           0.92655039           0.80908730
  2    -1           1.16561314           1.19932414           1.06862433
  2     0           1.09520401           0.65494389           0.54955028
  2     1           1.16561314           1.19932414           1.06862433
  2     2           1.13040857           0.92771764           0.80908730
  3    -3           0.01053102           0.05148315           0.02319359
  3    -2           0.01155076           0.07275823           0.03469185
  3    -1           0.01094160           0.06854617           0.03027359
  3     0           0.00991516           0.02668097           0.01257359
  3     1           0.01094161           0.06860782           0.03027359
  3     2           0.01155076           0.07277429           0.03469185
  3     3           0.01053103           0.05215402           0.02319359
